post_uri,posted_at,text
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulayknosc2v,2026-09-03T01:04:48.820Z,"What if I pile my dogs like Pick Up Sticks? Just an innocent, family-friendly game."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulaqvcuac2v,2026-09-03T01:00:31.556Z,Today my chicken nuggets start their first day of school... soon they'll be chicken tendies and I'll be so proud of them *wipes a tear*
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulacrbxbs2k,2026-09-03T00:52:37.554Z,Now I want to be on that list!!! No fair!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mul7d7bldc26,2026-09-03T00:34:58.491Z,"Years ago, I was an exchange student in Germany and wanted to tell my host dad it was humid outside.

I fucked up an umlaut. Totally innocently. 

I told him it was homosexual outside.

He laughed."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mul6s4mnvc22,2026-09-03T00:25:25.293Z,Its all by air travel. Not actually driving. Mostly.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mul67onlz22v,2026-09-03T00:15:06.667Z,"Power move, dad. Well struck."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mul667ghks2v,2026-09-03T00:14:17.139Z,"Road trip in 2 days! Korea, then the Carolinas!!!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mul4yi7oyk22,2026-09-02T23:53:11.299Z,"And holy shit, thanks to the folks who want to make my shitposts political when that was absolutely not the intent. I don't want to detach quotes, but I will keep a historical record."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mul4glsljs22,2026-09-02T23:43:11.084Z,"When you're right, you're right."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mul3uyc6gc22,2026-09-02T23:33:20.185Z,"The absolute smugness in my delivery of this line to the ex tonight after she goes psycho about ""who I am allowed to interact with""

*chef's kiss*"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukyhoyzps2p,2026-09-02T22:32:13.020Z,Pathetic.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukxwiim522o,2026-09-02T22:22:35.773Z,Nailed it.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukxlovkic2o,2026-09-02T22:16:33.389Z,"15 (gardening): Hey Dad, why can't you tell a garden your secrets?
Me: If you say because the corn has ears and the beans talk, I'm yeeting you into the Sun.
15 (stunned, horrified): B-b-b-because it's just not a good idea (stares at the ground, continues gardening)"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukx7ssxec2o,2026-09-02T22:09:54.841Z,"What do you call an airplane that won't fly?

I don't know, but I bet he's grounded."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukwtzpzr22n,2026-09-02T22:03:19.431Z,"Me: If a butterfly loses its wings what do you call it?
15: A butterwalk?
Me: No. Dead."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukw3r4grs22,2026-09-02T21:49:45.087Z,I can just pilfer the snack cart in Business Class. They don't mind.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukvx3gx4c22,2026-09-02T21:47:08.155Z,"I mean, that's the point. Watchu want?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukvseywbs2p,2026-09-02T21:44:30.411Z,Taunting the order box is a McFelony...
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukvaigros2p,2026-09-02T21:34:30.030Z,Imagine hating me and I'm just over here stalking your meals on the media tab.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukv36lym22p,2026-09-02T21:31:31.945Z,Plus I'll pack snacks.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukuzvlvcc2p,2026-09-02T21:30:48.944Z,"I love free speech.

Especially the part where you're free to speak and the algorithm is free to decide whether anyone gives a shit"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukt5z6m4k2g,2026-09-02T20:57:19.441Z,"Careful, the floor just jumps at ya if you let it"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukszerv522g,2026-09-02T20:54:43.837Z,Of course she is 😅
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muksymlnqk2g,2026-09-02T20:54:18.465Z,Who wants to go to Korea with me next week? I have extra space in my carry-on luggage if you don't mind tight spaces
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukskocmlc2g,2026-09-02T20:46:30.506Z,Good choices all around!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muksjf2ra22g,2026-09-02T20:45:47.249Z,"I heard someone say ""spaghettification"" and I thought they said ""spaghetti vacation"" and I responded, ""Ooh, I want that."" Long story short, they're sending me to a black hole next week"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukqw53n722r,2026-09-02T20:17:07.614Z,"Do y'all still get a jump scare making popcorn, or are you normal?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukqmgrmhc26,2026-09-02T20:11:42.209Z,"If I find you in my house, I'll just assume the cat brought home a friend"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukpncydy226,2026-09-02T19:54:18.042Z,"Me: *pops gas cap*
Car alert msg: To unlock gas tank, please subscribe to Gas Refueling Plan
Me (irritated): What? I bought the damn car! I'm calling Toyota
Customer Service: To file a complaint, please subscribe to our 'Customer Compliant' service
Me: *screams*
CS: To scream into the void...."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muki3giv3s22,2026-09-02T17:39:01.588Z,Supergluing glass shards to a wooden skewer and selling it as rock candy
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukgwxxj2k22,2026-09-02T17:18:38.378Z,"*walks into a three-star Michelin restaurant*
Serve me a corndog, you cowards!!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukg4fmi4s2o,2026-09-02T17:03:46.727Z,"Its been done before, years ago. That's a hell of a venue."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukfqcc5xk2o,2026-09-02T16:57:00.563Z,"Ah, yes, food-motivated. I gues I need to stock up on more of your favorites."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukdco4h522s,2026-09-02T16:13:35.736Z,"Nobody tells you this, but you really should tenderize your drywall first"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukczr5dmc2s,2026-09-02T16:08:36.913Z,"Fanny pack? Oh, you mean my bacon holder. Yeah, she's a beaut, ain't she?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mukcftzw5k2s,2026-09-02T15:57:28.868Z,"My ghost costume is a fitted sheet with BBQ sauce stains on it, in case you want to copy this amazing idea for Halloween"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muk6wuot2c2e,2026-09-02T14:55:25.010Z,"My grocery store adds 10% to the shelf price.

I assume that's the part where they start flirting with me."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muk3sl5etc2s,2026-09-02T13:59:19.559Z,"*Jack Skellington pops up as whitish flakes begin falling from the sky*
What's this? What's this?

It's wildfire ash. Stop trying to catch it on your tongue."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mujzn2h6vc2w,2026-09-02T13:20:26.802Z,Trademark it
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mujzkiu7522w,2026-09-02T13:19:01.235Z,I'm hunting chowdah.... be vewwy quiet... hehehehehe
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mujypq275s2v,2026-09-02T13:04:02.807Z,Pumpkin spice anxiety attack
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mujx2wdpcc2v,2026-09-02T12:34:31.029Z,Engineering is just finding increasingly expensive ways to say “probably.”
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mujwqne5hk2v,2026-09-02T12:28:46.060Z,My morning routine is mostly just making increasingly worse decisions in sequence
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muiw736hvk2j,2026-09-02T02:46:16.814Z,Not exactly. Maybe a little. But the lasagna was so good.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muivmzyqnk2u,2026-09-02T02:36:11.610Z,What if the snacks wanted us all along?
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muiuxfdiks2m,2026-09-02T02:24:05.309Z,A little each day to keep active is sufficient
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muiuhwxjck2g,2026-09-02T02:15:26.922Z,"And I found them. But seriously, good job!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muiubpecok2g,2026-09-02T02:11:57.622Z,The fun part is finding where.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muitonxvyc2h,2026-09-02T02:01:18.637Z,"Looking at old photo albums and commenting ""you see him, too, right?"""
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muitk657u22h,2026-09-02T01:58:47.813Z,One too many helium balloons sucked dry is no way to go livin' your life son...
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muisarrhj22o,2026-09-02T01:35:39.115Z,Seductively.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muis32xszs2o,2026-09-02T01:32:27.418Z,
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muir7wtvys23,2026-09-02T01:17:17.132Z,Social media sucks sometimes. I feel ya. 🫂
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muir45c4ek2i,2026-09-02T01:15:09.657Z,"Phone book? What's  a phone book?

*gets slammed in the face with a phone book*

Ohhhh, a phone book

*collapses*"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muiqhqv5uk2a,2026-09-02T01:03:45.573Z,Seductively fighting indigestion
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muiqd563bc2c,2026-09-02T01:01:10.689Z,
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muiq7unzis2c,2026-09-02T00:59:21.075Z,How's your Tuesday night going?
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muipkgzit225,2026-09-02T00:47:22.162Z,Never go full Garfield. Despite what that lasagna tells you. Never. Go. Full. Garfield.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muii7l74ps26,2026-09-01T22:36:01.227Z,"I'm like a genie's bottle, but if you rub my belly, you'll only release methane from its 3000-year slumber"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muidkgl2sc2v,2026-09-01T21:12:36.787Z,It's soup season. Who wants to help me set up my traps?
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muicvupv422v,2026-09-01T21:01:06.983Z,But I wanted a peanut!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muicqf7gk22v,2026-09-01T20:58:02.943Z,"Ooh ooh , lemme be the yellow guy in this dog pile!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muicljczn22v,2026-09-01T20:55:19.485Z,How could I be? *I'M* locked in a bathtub.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muicjqy4bk2v,2026-09-01T20:54:20.383Z,"Force-feeding me candy corn is quite a kink, but I think I'll Pgnvmhbhnvmgngvmbnhn......"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muiavdn4o22u,2026-09-01T20:25:01.552Z,"Guys, guys, pumpkin spice ramen, isn't it great?! This'll be.... GUYS?!!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mui3kepwsc2d,2026-09-01T18:49:24.911Z,"Have you heard the new werewolf podcast, Lycan Subscribe?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muhylchnec2s,2026-09-01T17:56:14.876Z,"🎶Sugar, doot doo doot doo doo doo......🎶"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muhxfbchdk2q,2026-09-01T17:34:58.577Z,"Live your life like the elevator ""close door"" button. Look shiny and promising, make people feel good, but don't actually serve any useful function, otherwise people will keep pushing you and expecting results."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muhwvw6dd22s,2026-09-01T17:26:23.593Z,"Oh, this guy's trouble..."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muhv5jiuvk2y,2026-09-01T16:54:51.252Z,"Ok, for the next five minutes, NO SQUANCHING. I'll be back. It'll be okay."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muhuc4525c2f,2026-09-01T16:39:31.281Z,Steiny
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muhua2tyjs2f,2026-09-01T16:38:22.810Z,My cat is looking at me like he'll smother me first chance he gets. Guess I'm sleeping with one eye open now...
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muhu4dn4ec2r,2026-09-01T16:36:17.785Z,Guess I'll just be lookin' at a thing in a bag for the rest of the day...
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulplv27oc2c,2026-09-03T05:26:09.616Z,"It’s midnight. If you’re still making terrible decisions, at least have the decency to make them quietly."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulnvwtyms22,2026-09-03T04:55:59.592Z,Noted. Sticking with the corndogs.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulnnuvcac22,2026-09-03T04:51:29.102Z,"Wouldn't be surprised, honestly."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mulnbsb6z222,2026-09-03T04:44:43.693Z,One hopes
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumggdrxys2c,2026-09-03T12:14:39.823Z,My mental health has entered its “we’ll see what happens” era.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumg4umhr222,2026-09-03T12:09:21.929Z,Coffee: because apparently “murder everyone” is frowned upon before 8 a.m.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumkiloivk25,2026-09-03T13:27:30.182Z,"A weighted blanket, but it's just you sitting on my face"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumkfeh7t225,2026-09-03T13:25:41.940Z,"They won't suspend me, I know where in the world Carmen Sandiego is."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumk5krpr225,2026-09-03T13:21:20.138Z,"Casually getting hit by a bus, just to feel something"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumlcgvxss2s,2026-09-03T13:41:57.600Z,Putting in earplugs so my brain can't escape
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muml5htp5c2s,2026-09-03T13:39:10.802Z,I use a whisk.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumkzyn54k2s,2026-09-03T13:37:14.192Z,Cool! Bonus!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mummynlji22e,2026-09-03T14:12:16.536Z,🤣🤣🤣
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mummp2xmz22e,2026-09-03T14:06:55.020Z,"As long as it has mass and momentum, I'm game."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mummnhlrik2e,2026-09-03T14:06:01.155Z,"I won't be horseback riding today, I've lost my coconut shells"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mummionyvs2e,2026-09-03T14:03:20.795Z,So you’re telling me this bread is made from monkeys?
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mump3kgg6k2f,2026-09-03T14:49:41.351Z,Yep! That's another one!!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumrgwsils22,2026-09-03T15:31:50.931Z,Shoulda named my cat Eureka.🤮
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumtvmjk422f,2026-09-03T16:15:50.953Z,"An action movie in the toilet bowl, in other words"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumtq7bjvk2f,2026-09-03T16:12:49.284Z,Forgot the words for 'action movie' and just called it a 'boom boom runny shoot'
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumsyao32s22,2026-09-03T15:59:25.440Z,Bring a flashlight
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumueitn6c2f,2026-09-03T16:24:10.406Z,
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumu7rtn5k2f,2026-09-03T16:21:32.070Z,Would an obsessed person do this?
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mumu5vcoq22f,2026-09-03T16:20:28.597Z,@buickmakane71.bsky.social is this accurate?
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mun36uy5mk27,2026-09-03T18:26:18.003Z,But then where would you bury the survivors?
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mun2xa2toc27,2026-09-03T18:22:01.189Z,"4: I know how they make volcanoes. They just find a mountain and pour a lot of ketchup on it. 
Me: Brilliant, as always."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mun2ur4zis27,2026-09-03T18:20:38.407Z,"These things? Ok, but I'ma warn you, they're hairy"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mun4b4q5hs2k,2026-09-03T18:45:26.965Z,
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mun45bebgs2x,2026-09-03T18:43:17.616Z,"""Goddamn fingers that I don't have..."""
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mun42yulx22x,2026-09-03T18:42:01.585Z,For whom the Piggly Wigglies
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mun54wgyu22t,2026-09-03T19:00:59.895Z,"Man, I thought for sure the charcuterie board would have shark and owl on it. I know now...."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3muna3nwwr222,2026-09-03T19:53:58.668Z,"I'm not playing with my gummy bears, I'm fending off the legion of sugar bear warriors who have disturbed my slumber and shall not be shown mercy"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munctk6syk2f,2026-09-03T20:43:07.512Z,"Dont forget to gift-wrap that Chili's Triple Dipper before you give it to her, fellas"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mundx3mxa227,2026-09-03T21:03:00.209Z,"Patience, grasshopper"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mungnop2jc2g,2026-09-03T21:51:25.881Z,"It seems like nowadays, you can't even crack open a Smurf's head and feast upon the delicious blue goo inside anymore. What has this world come to?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3mung3mkosc2z,2026-09-03T21:41:19.663Z,"Giving myself a swirlie, for old-time's sake."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munhvbaor22u,2026-09-03T22:13:33.943Z,Awesome. Let's find an investor. To the Shark Tank!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munhqm2xxs27,2026-09-03T22:10:57.528Z,"A new deodorant scent called ""Smellvis"" and its just peanut butter and banana plus bacon"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munhir6bys2u,2026-09-03T22:06:34.456Z,
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munhf5mivk2u,2026-09-03T22:04:33.274Z,"The backup beeping sound they install after your first colonoscopy, is it worth it?"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munihpxq7s23,2026-09-03T22:23:53.369Z,"The number of times I spout off ""you don't get to ruin my furniture"" every day has reached epidemic proportions"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munj2v4v6c2o,2026-09-03T22:34:36.317Z,Flossing my teeth with a single spaghetto
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munkjwfnks2n,2026-09-03T23:00:54.710Z,Watch this B-movie script get flagged 😅
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munkabijds2h,2026-09-03T22:55:30.784Z,"Me (tied to a chair, bad guys lurking by me): Let me go!
Bad guy: You know, ve haf vays of making you talk...
Me: Look, what happened between me & that grilled cheese was purely consensual -
BG: *slaps me* SILENCE! You've been messing vis ze wrong cheese, everyone knows you use American, you pig!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munmceggpc22,2026-09-03T23:32:28.474Z,Wheeeeeeee!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munm57hezc22,2026-09-03T23:29:35.484Z,"Ok this wins 🤣 I'm not normally too political, but I can get behind this any day"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munlpv6vvk2s,2026-09-03T23:22:08.507Z,I don't get the need to use words with more than two syll.... uh... sylla... sound bonks
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munnov7agk2l,2026-09-03T23:57:22.458Z,Yep.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munno6434c2l,2026-09-03T23:56:58.224Z,"They outlawed dog piling and now they expect us to just politely stand on top of each other one at a time, like human Jenga blocks"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munp7tiais2f,2026-09-04T00:24:44.819Z,It's fascinating how many people have formed very strong opinions about me without ever actually speaking to me
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munovlvvwk22,2026-09-04T00:19:01.338Z,"If you feel seen here, find the door."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munoqjftlk2w,2026-09-04T00:16:10.932Z,There are people who genuinely believe their prejudices become virtues if they use the right vocabulary.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munnylrbz22l,2026-09-04T00:02:48.107Z,I don't mind being the butt of the joke. I just wish everyone would stop checking whether I'm available first
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munpe24rkc22,2026-09-04T00:27:06.006Z,Likewise!!! 😁
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munqwx7tv22s,2026-09-04T00:55:34.236Z,
